ID,Group,Task,Distance,Trial_ID,Start,End,CorrectDJ,Session,Trial,DJ,DJ_Duration,Navi_Duration,side1,side2,session_start,initial_position,DC_start,DJ_start,DJ_end,navi_start,navi_end,fixation,ini_start_T,DC_start_T,DJ_start_T,rev_start_T,navi_start_T,navi_end_T
MOP002,Old,SP,Moderate,13,全國電子,誠品,13,1,4,15,6.388,39.25,(A)全國電子,(C)誠品,20:53.0,24:14.4,24:16.4,24:20.4,24:26.8,24:28.9,25:08.1,200.881,201.381,203.399,207.397,213.785,215.816,216.066
MOP002,Old,SP,Far,22,誠品,星巴克,17,1,5,12,6.133,49,(C)誠品,(D)星巴克,20:53.0,25:10.8,25:12.8,25:16.8,25:23.0,25:25.1,26:14.1,257.269,257.769,259.781,263.799,269.932,272.07,272.318
MOP002,Old,SP,Moderate,14,星巴克,肯德基,14,1,6,10,6.651,23.75,(D)星巴克,(G)肯德基,20:53.0,26:16.8,26:18.8,26:22.8,26:29.5,26:31.6,26:55.4,323.27,323.77,325.782,329.798,336.449,338.565,338.818
MOP002,Old,SP,Moderate,18,麥當勞,台灣彩券,15,1,7,12,6.303,47.75,(B)麥當勞,(E)台灣彩券,20:53.0,26:58.1,27:00.1,27:04.1,27:10.4,27:12.6,28:00.4,364.515,365.015,367.015,371.014,377.317,379.567,379.817
MOP002,Old,SP,Far,23,台灣彩券,爭鮮,17,2,1,12,7.506,36,(E)台灣彩券,(H)爭鮮,29:15.9,29:15.9,29:17.9,29:21.9,29:29.4,29:31.6,30:07.6,-0.5,0,1.994,5.994,13.5,15.732,15.982
MOP002,Old,SP,Moderate,11,爭鮮,寶雅,12,2,2,12,5.211,26.75,(F)寶雅,(H)爭鮮,29:15.9,30:10.3,30:12.3,30:16.3,30:21.5,30:23.6,30:50.3,53.933,54.433,56.446,60.467,65.678,67.728,67.983
MOP002,Old,SP,Near,5,麥當勞,誠品,7,2,3,8,5.518,90,(B)麥當勞,(C)誠品,29:15.9,30:53.0,30:55.1,30:59.1,31:04.6,31:06.6,32:36.6,96.679,97.179,99.195,103.198,108.716,110.732,110.999
MOP002,Old,SP,Moderate,10,星巴克,台灣彩券,11,2,4,10,4.523,21.25,(D)星巴克,(E)台灣彩券,29:15.9,32:39.2,32:41.2,32:45.2,32:49.7,32:51.8,33:13.1,202.796,203.296,205.297,209.296,213.819,215.984,216.229
MOP002,Old,SP,Far,25,寶雅,肯德基,20,2,5,15,3.288,28,(F)寶雅,(G)肯德基,29:15.9,33:15.8,33:17.8,33:21.8,33:25.1,33:27.3,33:55.3,239.433,239.933,241.946,245.963,249.251,251.481,251.73
MOP002,Old,SP,Near,2,全國電子,麥當勞,6,2,6,12,5.785,90,(A)全國電子,(B)麥當勞,29:15.9,33:58.0,34:00.1,34:04.1,34:09.8,34:12.1,35:42.1,281.68,282.18,284.195,288.196,293.981,296.232,296.481
MOP002,Old,SP,Moderate,19,誠品,爭鮮,15,2,7,10,4.289,27.75,(C)誠品,(H)爭鮮,29:15.9,35:44.7,35:46.7,35:50.7,35:54.9,35:57.1,36:24.9,388.297,388.797,390.798,394.797,399.086,401.233,401.484
MOP002,Old,SP,Moderate,12,麥當勞,星巴克,12,3,1,10,4.033,54.25,(B)麥當勞,(D)星巴克,37:58.8,37:58.8,38:00.9,38:04.9,38:08.9,38:11.1,39:05.3,-0.5,0,2.013,6.012,10.045,12.232,12.483
MOP002,Old,SP,Far,27,誠品,寶雅,23,3,2,12,5.337,45.75,(C)誠品,(F)寶雅,37:58.8,39:08.0,39:10.0,39:14.0,39:19.4,39:21.6,40:07.3,68.663,69.163,71.18,75.196,80.533,82.73,82.983
MOP002,Old,SP,Far,20,寶雅,麥當勞,16,3,3,12,4.402,33.25,(B)麥當勞,(F)寶雅,37:58.8,40:10.0,40:12.0,40:16.1,40:20.5,40:22.6,40:55.8,130.68,131.18,133.201,137.217,141.619,143.731,143.984
MOP002,Old,SP,Near,3,星巴克,爭鮮,6,3,4,10,4.854,16.25,(D)星巴克,(H)爭鮮,37:58.8,40:58.5,41:00.5,41:04.6,41:09.4,41:11.6,41:27.8,179.18,179.68,181.697,185.716,190.57,192.731,192.986
MOP002,Old,SP,Near,6,肯德基,誠品,7,3,5,10,8.022,19.5,(C)誠品,(G)肯德基,37:58.8,41:30.5,41:32.5,41:36.5,41:44.6,41:46.6,42:06.1,211.165,211.665,213.681,217.697,225.719,227.732,227.984
MOP002,Old,SP,Moderate,15,爭鮮,全國電子,14,3,6,15,2.538,73.5,(A)全國電子,(H)爭鮮,37:58.8,42:08.8,42:10.8,42:14.8,42:17.3,42:19.3,43:32.8,249.43,249.93,251.93,255.932,258.47,260.488,260.736
MOP002,Old,SP,Far,28,台灣彩券,肯德基,25,3,7,16,3.405,33.5,(E)台灣彩券,(G)肯德基,37:58.8,43:35.5,43:37.6,43:41.6,43:45.0,43:47.1,44:20.6,336.201,336.701,338.715,342.731,346.136,348.231,348.485
MOP002,Old,SP,Near,8,爭鮮,肯德基,8,4,1,6,6.221,18.75,(G)肯德基,(H)爭鮮,45:33.0,45:33.0,45:35.0,45:39.0,45:45.2,45:47.2,46:06.0,-0.5,0,1.996,5.993,12.214,14.241,14.48
MOP002,Old,SP,Moderate,16,全國電子,寶雅,14,4,2,12,6.119,28.75,(A)全國電子,(F)寶雅,45:33.0,46:08.7,46:10.7,46:14.7,46:20.8,46:23.0,46:51.7,35.178,35.678,37.708,41.726,47.845,49.995,50.228
MOP002,Old,SP,Near,4,寶雅,星巴克,6,4,3,6,6.363,19.75,(D)星巴克,(F)寶雅,45:33.0,46:54.5,46:56.5,47:00.5,47:06.8,47:09.0,47:28.7,80.959,81.459,83.475,87.479,93.842,95.979,96.228
MOP002,Old,SP,Moderate,17,肯德基,麥當勞,14,4,4,12,3.854,58.25,(B)麥當勞,(G)肯德基,45:33.0,47:31.4,47:33.4,47:37.4,47:41.3,47:43.5,48:41.7,117.908,118.408,120.41,124.426,128.28,130.491,130.73
MOP002,Old,SP,Far,21,星巴克,全國電子,16,4,5,10,4.352,33.25,(A)全國電子,(D)星巴克,45:33.0,48:44.4,48:46.5,48:50.5,48:54.8,48:57.0,49:30.3,190.942,191.442,193.459,197.476,201.828,203.976,204.23
MOP002,Old,SP,Far,26,台灣彩券,誠品,22,4,6,12,5.378,48.25,(C)誠品,(E)台灣彩券,45:33.0,49:32.9,49:35.0,49:39.0,49:44.4,49:46.5,50:34.7,239.443,239.943,241.959,245.982,251.36,253.48,253.729
MOP002,Old,SP,Near,9,全國電子,台灣彩券,9,4,7,10,4.287,24.5,(A)全國電子,(E)台灣彩券,45:33.0,50:37.5,50:39.5,50:43.5,50:47.8,50:50.0,51:14.5,303.947,304.447,306.46,310.476,314.763,316.98,317.229
MOP002,Old,SP,Moderate,12,星巴克,麥當勞,12,5,1,10,8.004,37.75,(B)麥當勞,(D)星巴克,03:50.3,03:50.3,03:52.3,03:56.3,04:04.3,04:06.4,04:44.2,-0.5,0,2.016,6.029,14.033,16.152,16.399
MOP002,Old,SP,Far,27,寶雅,誠品,23,5,2,15,7.184,40,(C)誠品,(F)寶雅,03:50.3,04:46.9,04:48.9,04:52.9,05:00.1,05:02.2,05:42.2,56.112,56.612,58.629,62.632,69.816,71.895,72.149
MOP002,Old,SP,Far,20,麥當勞,寶雅,16,5,3,15,3.783,32.25,(B)麥當勞,(F)寶雅,03:50.3,05:44.9,05:46.9,05:50.9,05:54.7,05:56.9,06:29.2,114.097,114.597,116.612,120.629,124.412,126.649,126.898
MOP002,Old,SP,Near,3,爭鮮,星巴克,6,5,4,6,8.018,20.25,(D)星巴克,(H)爭鮮,03:50.3,06:31.9,06:33.9,06:37.9,06:45.9,06:48.2,07:08.4,161.099,161.599,163.613,167.635,175.653,177.896,178.151
MOP002,Old,SP,Near,6,誠品,肯德基,7,5,5,10,4.651,36.75,(C)誠品,(G)肯德基,03:50.3,07:11.1,07:13.1,07:17.1,07:21.8,07:23.9,08:00.7,200.349,200.849,202.846,206.846,211.497,213.649,213.901
MOP002,Old,SP,Moderate,15,全國電子,爭鮮,14,5,6,12,6.434,38.5,(A)全國電子,(H)爭鮮,03:50.3,08:03.4,08:05.4,08:09.4,08:15.9,08:17.9,08:56.4,252.614,253.114,255.129,259.131,265.565,267.649,267.896
MOP002,Old,SP,Far,28,肯德基,台灣彩券,25,5,7,15,2.267,53.5,(E)台灣彩券,(G)肯德基,03:50.3,08:59.1,09:01.1,09:05.1,09:07.4,09:09.4,10:02.9,308.347,308.847,310.85,314.851,317.118,319.147,319.401
MOP002,Old,SP,Far,23,爭鮮,台灣彩券,17,6,1,15,3.367,26.25,(E)台灣彩券,(H)爭鮮,11:44.3,11:44.3,11:46.3,11:50.3,11:53.7,11:55.7,12:22.0,-0.5,0,2.01,6.031,9.398,11.48,11.732
MOP002,Old,SP,Moderate,11,寶雅,爭鮮,12,6,2,10,7.768,23.25,(F)寶雅,(H)爭鮮,11:44.3,12:24.7,12:26.7,12:30.7,12:38.5,12:40.8,13:04.0,39.947,40.447,42.464,46.478,54.246,56.494,56.747
MOP002,Old,SP,Near,5,誠品,麥當勞,7,6,3,10,5.137,24.25,(B)麥當勞,(C)誠品,11:44.3,13:06.7,13:08.7,13:12.7,13:17.8,13:20.0,13:44.2,81.911,82.411,84.427,88.443,93.58,95.73,95.994
MOP002,Old,SP,Moderate,10,台灣彩券,星巴克,11,6,4,12,6.337,19.75,(D)星巴克,(E)台灣彩券,11:44.3,13:47.0,13:49.0,13:53.0,13:59.3,14:01.5,14:21.2,122.192,122.692,124.695,128.694,135.031,137.248,137.48
MOP002,Old,SP,Far,25,肯德基,寶雅,20,6,5,14,5.121,90,(F)寶雅,(G)肯德基,11:44.3,14:24.0,14:26.0,14:30.0,14:35.1,14:37.2,16:07.3,159.194,159.694,161.694,165.693,170.814,172.981,173.244
MOP002,Old,SP,Near,2,麥當勞,全國電子,6,6,6,10,5.471,18,(A)全國電子,(B)麥當勞,11:44.3,16:09.8,16:11.8,16:15.8,16:21.3,16:23.5,16:41.5,265.061,265.561,267.577,271.577,277.048,279.23,279.48
MOP002,Old,SP,Moderate,19,爭鮮,誠品,15,6,7,10,4.967,25,(C)誠品,(H)爭鮮,11:44.3,16:44.2,16:46.2,16:50.2,16:55.2,16:57.2,17:22.2,299.41,299.91,301.912,305.932,310.899,312.982,313.233
MOP002,Old,SP,Near,1,寶雅,台灣彩券,5,7,1,6,5.968,13.25,(E)台灣彩券,(F)寶雅,19:13.2,19:13.2,19:15.2,19:19.3,19:25.2,19:27.5,19:40.7,-0.5,0,2.008,6.027,11.995,14.229,14.477
MOP002,Old,SP,Near,7,麥當勞,爭鮮,8,7,2,10,6.751,27.25,(B)麥當勞,(H)爭鮮,19:13.2,19:43.4,19:45.4,19:49.4,19:56.2,19:58.2,20:25.5,29.674,30.174,32.195,36.211,42.962,44.978,45.227
MOP002,Old,SP,Far,24,全國電子,肯德基,20,7,3,16,8.014,37.75,(A)全國電子,(G)肯德基,19:13.2,20:28.2,20:30.2,20:34.2,20:42.2,20:44.5,21:22.2,74.447,74.947,76.96,80.977,88.991,91.227,91.478
MOP002,Old,SP,Moderate,13,誠品,全國電子,13,7,4,16,4.068,31.75,(A)全國電子,(C)誠品,19:13.2,21:24.9,21:26.9,21:30.9,21:35.0,21:37.2,22:09.0,131.158,131.658,133.674,137.696,141.764,143.978,144.228
